"id_reservation","id_listing","id_guest","id_traveler","id_host","dim_cancellation_reason","ts_cancelled","ds"
"2134E86B","140A426","5A5B4","5A5B4","8652C07","not_available","1514392319",2017-12-27
"132D2F44","B8849A","6B21FC","6B21FC","2EE2B4A","other","1494019674",2017-05-05
"1D49009D","361FE8","32D7D91","32D7D91","10DCCDA","unknown","1507334981",2017-10-07
"2068308E","133CA7C","7943F","7943F","715B7C2","unknown","1512992028",2017-12-11
"31C8282C","14DBAC9","A9EABA","A9EABA","435633","accommodations_unnecessary","1531892021",2018-07-18
"2F754D6C","1540D8C","597BF29","597BF29","982FEA9","not_available","1528298797",2018-06-06
"28D197A3","EDA90B","8D30A9","8D30A9","5C96063","other","1521545673",2018-03-20
"383212ED","143B2C4","7632047","7632047","2780221","accidental_reservation","1536762591",2018-09-12
"E5F436F","2E948A","63A858","63A858","69AD36","accommodations_unnecessary","1484163395",2017-01-11
"25096530","54D8FF","849787","849787","F879FC","accommodations_unnecessary","1517983963",2018-02-07
"12019517","99EFB0","32FC3F4","32FC3F4","1D9F17B","accommodations_unnecessary","1491470500",2017-04-06
"2885923B","D2A048","8383E64","8383E64","1AF215F","accommodations_unnecessary","1527188518",2018-05-24
"1AAE2011","EF2377","1DA3FE9","1DA3FE9","6085F8B","unknown","1504207666",2017-08-31
"1BE09B1C","E9E754","8F2C896","8F2C896","5CDDBB8","unknown","1505470182",2017-09-15
"1279C417","E1C0D9","2DE17BF","2DE17BF","F14DB","other","1493743221",2017-05-02
"1A282DEA","1233FDB","1CC13E","1CC13E","63D4D2A","other","1504405999",2017-09-03
"306DCC07","16A0902","45F3451","45F3451","A3B0A4A","accommodations_unnecessary","1529416942",2018-06-19
"1AC81B8E","DC4FE4","8CE8405","8CE8405","54C4CBF","accommodations_unnecessary","1503900702",2017-08-28
"3D4404A0","16AB3B9","39355BE","39355BE","181AE5E","accommodations_unnecessary","1542145216",2018-11-13
"261E1E60","15FC6AE","A525A33","A525A33","A32DC97","accommodations_unnecessary","1519091447",2018-02-20
"1270EA9B","E8229C","28DDF96","28DDF96","558B49","unknown","1496228663",2017-05-31
"376CF8C1","18DD840","1CDDBA4","1CDDBA4","7936DB","other","1536139462",2018-09-05
